Drug_evolved,Drug_tested,Day,Ancestor,Population,Measurement,MIC
Ceftazidime,Ceftazidime,0,B1,0,1,4
Ceftazidime,Ceftazidime,0,B1,0,2,4
Ceftazidime,Ceftazidime,0,B1,0,3,8
Ceftazidime,Ceftazidime,0,B2,0,1,2
Ceftazidime,Ceftazidime,0,B2,0,2,2
Ceftazidime,Ceftazidime,0,B2,0,3,4
Ceftazidime,Ceftazidime,0,B3,0,1,4
Ceftazidime,Ceftazidime,0,B3,0,2,4
Ceftazidime,Ceftazidime,0,B3,0,3,4
Ceftazidime,Ceftazidime,0,P1,0,1,16
Ceftazidime,Ceftazidime,0,P1,0,2,16
Ceftazidime,Ceftazidime,0,P1,0,3,16
Ceftazidime,Ceftazidime,0,P2,0,1,8
Ceftazidime,Ceftazidime,0,P2,0,2,16
Ceftazidime,Ceftazidime,0,P2,0,3,8
Ceftazidime,Ceftazidime,0,P3,0,1,4
Ceftazidime,Ceftazidime,0,P3,0,2,2
Ceftazidime,Ceftazidime,0,P3,0,3,8
Ceftazidime,Ceftazidime,3,B1,1,1,21.14342482
Ceftazidime,Ceftazidime,3,B1,2,1,21.14342482
Ceftazidime,Ceftazidime,3,B1,3,1,21.14342482
Ceftazidime,Ceftazidime,3,B2,1,1,2.642928103
Ceftazidime,Ceftazidime,3,B2,2,1,5.285856205
Ceftazidime,Ceftazidime,3,B2,3,1,10.57171241
Ceftazidime,Ceftazidime,3,B3,1,1,21.14342482
Ceftazidime,Ceftazidime,3,B3,2,1,21.14342482
Ceftazidime,Ceftazidime,3,B3,3,1,42.28684964
Ceftazidime,Ceftazidime,3,P1,1,1,84.57369928
Ceftazidime,Ceftazidime,3,P1,2,1,84.57369928
Ceftazidime,Ceftazidime,3,P1,3,1,84.57369928
Ceftazidime,Ceftazidime,3,P2,1,1,10.57171241
Ceftazidime,Ceftazidime,3,P2,2,1,5.285856205
Ceftazidime,Ceftazidime,3,P2,3,1,5.285856205
Ceftazidime,Ceftazidime,3,P3,1,1,5.285856205
Ceftazidime,Ceftazidime,3,P3,2,1,2.642928103
Ceftazidime,Ceftazidime,3,P3,3,1,2.642928103
Ceftazidime,Ceftazidime,3,B1,1,2,21.14342482
Ceftazidime,Ceftazidime,3,B1,2,2,21.14342482
Ceftazidime,Ceftazidime,3,B1,3,2,21.14342482
Ceftazidime,Ceftazidime,3,B2,1,2,2.642928103
Ceftazidime,Ceftazidime,3,B2,2,2,5.285856205
Ceftazidime,Ceftazidime,3,B2,3,2,5.285856205
Ceftazidime,Ceftazidime,3,B3,1,2,21.14342482
Ceftazidime,Ceftazidime,3,B3,2,2,42.28684964
Ceftazidime,Ceftazidime,3,B3,3,2,42.28684964
Ceftazidime,Ceftazidime,3,P1,1,2,84.57369928
Ceftazidime,Ceftazidime,3,P1,2,2,84.57369928
Ceftazidime,Ceftazidime,3,P1,3,2,84.57369928
Ceftazidime,Ceftazidime,3,P2,1,2,10.57171241
Ceftazidime,Ceftazidime,3,P2,2,2,5.285856205
Ceftazidime,Ceftazidime,3,P2,3,2,10.57171241
Ceftazidime,Ceftazidime,3,P3,1,2,2.642928103
Ceftazidime,Ceftazidime,3,P3,2,2,2.642928103
Ceftazidime,Ceftazidime,3,P3,3,2,5.285856205
Ceftazidime,Ceftazidime,3,B1,1,3,21.14342482
Ceftazidime,Ceftazidime,3,B1,2,3,21.14342482
Ceftazidime,Ceftazidime,3,B1,3,3,21.14342482
Ceftazidime,Ceftazidime,3,B2,1,3,5.285856205
Ceftazidime,Ceftazidime,3,B2,2,3,0
Ceftazidime,Ceftazidime,3,B2,3,3,5.285856205
Ceftazidime,Ceftazidime,3,B3,1,3,21.14342482
Ceftazidime,Ceftazidime,3,B3,2,3,42.28684964
Ceftazidime,Ceftazidime,3,B3,3,3,42.28684964
Ceftazidime,Ceftazidime,3,P1,1,3,84.57369928
Ceftazidime,Ceftazidime,3,P1,2,3,84.57369928
Ceftazidime,Ceftazidime,3,P1,3,3,84.57369928
Ceftazidime,Ceftazidime,3,P2,1,3,5.285856205
Ceftazidime,Ceftazidime,3,P2,2,3,5.285856205
Ceftazidime,Ceftazidime,3,P2,3,3,5.285856205
Ceftazidime,Ceftazidime,3,P3,1,3,2.642928103
Ceftazidime,Ceftazidime,3,P3,2,3,2.642928103
Ceftazidime,Ceftazidime,3,P3,3,3,5.285856205
Ceftazidime,Ceftazidime,12,B1,1,1,42.4
Ceftazidime,Ceftazidime,12,B1,2,1,42.4
