Sample,Seq Id,Start,End,Size,<-Reads,Reads->,Gene,Description
1_10p_v_vc17978,NZ_CP012004,378265,378533,269,43[39],[42]43,ACX60_RS01805/ACX60_RS01810,hypothetical protein/Smethylmethionine transporter
1_10p_v_vc17978,NZ_CP012004,380241,380526,286,47[40],[41]43,ACX60_RS01810/ACX60_RS01815,Smethylmethionine transporter/glutamate dehydrogenase
1_10p_v_vc17978,NZ_CP012004,473642,473858,217,46[35],[37]43,ACX60_RS02305/ACX60_RS02310,membrane protein/tRNAArg
1_10p_v_vc17978,NZ_CP012004,838925,839269,345,43[35],[42]52,ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/type I secretion protein
1_10p_v_vc17978,NZ_CP012004,1505556,1505738,183,44[42],[41]43,ACX60_RS07000,RNAbinding protein Hfq
1_10p_v_vc17978,NZ_CP012004,1529176,1529541,366,50[40],[42]43,ACX60_RS07100/ACX60_RS07105,aminopeptidase N/spore Coat protein U domain family
1_10p_v_vc17978,NZ_CP012004,1574732,1574858,127,45[42],[42]43,ACX60_RS07310,DNA polymerase III subunit gamma/tau
1_10p_v_vc17978,NZ_CP012004,1739685,1739957,273,45[37],[40]47,ACX60_RS08205/ACX60_RS08210,hypothetical protein/membrane protein
1_10p_v_vc17978,NZ_CP012004,2382052,2382474,423,51[38],[40]49,ACX60_RS11350/ACX60_RS11355,hypothetical protein/alanine racemase
1_10p_v_vc17978,NZ_CP012004,2453829,2454061,233,46[38],[41]59,ACX60_RS11680/ACX60_RS11685,hypothetical protein/sulfatase
1_10p_v_vc17978,NZ_CP012004,2781183,2781620,438,44[41],[40]46,ACX60_RS13220/ACX60_RS13225,hypothetical protein/Lon protease
vc17978p_v_vc17978,NZ_CP012004,95679,95901,223,54[51],[51]52,[ACX60_RS00430],[ACX60_RS00430]
vc17978p_v_vc17978,NZ_CP012004,131819,131927,109,53[50],[49]62,ACX60_RS00605,"peptidase, M23 family protein"
vc17978p_v_vc17978,NZ_CP012004,239060,239246,187,52[51],[51]54,ACX60_RS01085/ACX60_RS01090,peptide signal protein/tRNAThr
vc17978p_v_vc17978,NZ_CP012004,378245,378554,310,53[49],[50]53,ACX60_RS01805/ACX60_RS01810,hypothetical protein/Smethylmethionine transporter
vc17978p_v_vc17978,NZ_CP012004,380236,380580,345,52[50],[51]57,ACX60_RS01810/ACX60_RS01815,Smethylmethionine transporter/glutamate dehydrogenase
vc17978p_v_vc17978,NZ_CP012004,838911,839276,366,63[51],[47]53,ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/type I secretion protein
vc17978p_v_vc17978,NZ_CP012004,1058871,1059260,390,52[50],[49]52,[ACX60_RS05015],[ACX60_RS05015]
vc17978p_v_vc17978,NZ_CP012004,1415849,1416059,211,52[50],[51]53,ACX60_RS06605/ACX60_RS06610,hypothetical protein/hydroxyacylglutathione hydrolase
vc17978p_v_vc17978,NZ_CP012004,1529173,1529536,364,52[51],[48]52,ACX60_RS07100/ACX60_RS07105,aminopeptidase N/spore Coat protein U domain family
vc17978p_v_vc17978,NZ_CP012004,1574744,1574867,124,53[51],[51]52,ACX60_RS07310,DNA polymerase III subunit gamma/tau
vc17978p_v_vc17978,NZ_CP012004,1739667,1739970,304,54[51],[50]52,ACX60_RS08205/ACX60_RS08210,hypothetical protein/membrane protein
vc17978p_v_vc17978,NZ_CP012004,1904101,1904435,335,52[51],[50]55,ACX60_RS08980/ACX60_RS08985,indole acetimide hydrolase/RND transporter
vc17978p_v_vc17978,NZ_CP012004,2213055,2213318,264,53[51],[51]52,ACX60_RS10565/ACX60_RS10570,hypothetical protein/hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,2227922,2228197,276,54[51],[51]57,[ACX60_RS10640],[ACX60_RS10640]
vc17978p_v_vc17978,NZ_CP012004,2382014,2382526,513,52[51],[46]53,ACX60_RS11350/ACX60_RS11355,hypothetical protein/alanine racemase
vc17978p_v_vc17978,NZ_CP012004,2425503,2425871,369,52[49],[46]52,ACX60_RS11555/ACX60_RS11560,hypothetical protein/hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,2528533,2528682,150,60[45],[51]55,ACX60_RS12000/ACX60_RS12005,hypothetical protein/hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,2781184,2781633,450,52[51],[49]53,ACX60_RS13220/ACX60_RS13225,hypothetical protein/Lon protease
vc17978p_v_vc17978,NZ_CP012004,3090242,3090486,245,52[51],[51]53,ACX60_RS14650/ACX60_RS14655,ribonucleotidediphosphate reductase subunit beta/hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,3399625,3399830,206,52[51],[44]58,ACX60_RS16060/ACX60_RS16065,Zndependent hydrolase/RpiR family transcriptional regulator
vc17978p_v_vc17978,NZ_CP012005,35194,35394,201,29[12],[27]28,ACX60_RS18365/ACX60_RS18370,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,95708,95887,180,20[15],[10]23,ACX60_RS00425/ACX60_RS00430,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,131831,131893,63,19[15],[16]17,ACX60_RS00605,"peptidase, M23 family protein"
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,235608,235734,127,31[14],[13]19,ACX60_RS01065/ACX60_RS01070,"quercetin 2,3dioxygenase/hypothetical protein"
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,380251,380494,244,18[16],[16]17,ACX60_RS01810/ACX60_RS01815,Smethylmethionine transporter/glutamate dehydrogenase
