Sample,Seq Id,Position,Reads (Cov),Freq,Annotation,Gene,Product
1_10p_v_vc17978,NC_009083,"""11236=""",95 (0.060),56.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
1_10p_v_vc17978,NC_009084,"""5259=""",1137 (0.540),56.0%,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
1_10p_v_vc17978,NC_009083,"""=11251""",97 (0.060),51.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
1_10p_v_vc17978,NC_009084,"""=5242""",1137 (0.540),51.5%,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
1_10p_v_vc17978,NZ_CP012004,"""1389363=""",3 (0.020),61.9%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
1_10p_v_vc17978,NZ_CP012005,"""=132540""",204 (1.280),61.9%,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,transposase/hypothetical protein
1_10p_v_vc17978,NZ_CP012004,"""=1389371""",2 (0.010),63.5%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
1_10p_v_vc17978,NZ_CP012005,"""131502=""",120 (0.760),63.5%,coding(135/192nt),ACX60_RS18925,hypothetical protein
1_10p_v_vc17978,NZ_CP012004,"""2597132=""",237 (1.280),5.1%,intergenic(+65/222),ACX60_RS12340/ACX60_RS12345,alaninetRNA ligase/alpha/beta hydrolase
1_10p_v_vc17978,NZ_CP012004,"""=2639957""",183 (1.220),5.1%,intergenic(+208/2),ACX60_RS12640/ACX60_RS12645,hypothetical protein/aspartate kinase
1_10p_v_vc17978,NZ_CP012004,"""2846783=""",1 (0.010),99.4%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
1_10p_v_vc17978,NZ_CP012004,"""3612188=""",NA (NA),99.4%,intergenic(291/109),ACX60_RS17035/ACX60_RS17040,transposase/transposase
1_10p_v_vc17978,NZ_CP012004,"""=2846790""",0 (0.000),100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
